2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:24:55,052 - Loss_pi: 3.7159332075426654, Loss_v: 0.13438246327061806
2025-03-28 18:24:59,487 - Loss_pi: 3.7112001329660416, Loss_v: 0.13625888852402568
2025-03-28 18:25:03,899 - Loss_pi: 3.7022063370906944, Loss_v: 0.13259196828937891
2025-03-28 18:25:08,317 - Loss_pi: 3.692460999769323, Loss_v: 0.13144243426401825
2025-03-28 18:25:12,809 - Loss_pi: 3.6856972353799002, Loss_v: 0.13169225970549242
2025-03-28 18:25:17,229 - Loss_pi: 3.6822936402426825, Loss_v: 0.13318472816091445
2025-03-28 18:25:21,690 - Loss_pi: 3.685018758516054, Loss_v: 0.13549567482157335
2025-03-28 18:25:26,138 - Loss_pi: 3.692171899895919, Loss_v: 0.136287663769173
2025-03-28 18:25:30,566 - Loss_pi: 3.699435753700061, Loss_v: 0.13771956858153528
2025-03-28 18:25:35,067 - Loss_pi: 3.693696838617325, Loss_v: 0.13784199063666164
2025-03-28 18:25:39,560 - Loss_pi: 3.6952796854623933, Loss_v: 0.1386178605167604
2025-03-28 18:25:44,088 - Loss_pi: 3.694145889509292, Loss_v: 0.1364758080758509
2025-03-28 18:25:48,582 - Loss_pi: 3.6960172265074975, Loss_v: 0.13694672342822994
2025-03-28 18:25:53,108 - Loss_pi: 3.7060429453849792, Loss_v: 0.13807156567715786
2025-03-28 18:25:57,570 - Loss_pi: 3.7100900491078694, Loss_v: 0.13639808814558718
2025-03-28 18:26:02,076 - Loss_pi: 3.7107598626095317, Loss_v: 0.13548126577845085
2025-03-28 18:26:06,491 - Loss_pi: 3.711631333574336, Loss_v: 0.1359193105092074
2025-03-28 18:26:10,861 - Loss_pi: 3.7104373971621194, Loss_v: 0.13469595434920242
2025-03-28 18:26:15,316 - Loss_pi: 3.7046925680977956, Loss_v: 0.135253211407333
2025-03-28 18:26:19,687 - Loss_pi: 3.703745059967041, Loss_v: 0.13474678639322518
2025-03-28 18:26:24,150 - Loss_pi: 3.7012744697869993, Loss_v: 0.13392100223869668
2025-03-28 18:26:28,552 - Loss_pi: 3.6941052766946645, Loss_v: 0.13341723672615793
2025-03-28 18:26:32,931 - Loss_pi: 3.6967548334373617, Loss_v: 0.13295692560385983
2025-03-28 18:26:37,352 - Loss_pi: 3.7003794334552906, Loss_v: 0.13224036677706022
2025-03-28 18:26:41,801 - Loss_pi: 3.7002180099487303, Loss_v: 0.13179227279668504
2025-03-28 18:26:46,232 - Loss_pi: 3.6958226604121074, Loss_v: 0.13113003626598843
2025-03-28 18:26:50,201 - EPOCH ::: 3
2025-03-28 18:26:51,673 - Loss_pi: 3.7417893409729004, Loss_v: 0.04695776477456093
